target,text,clean_text
NEGATIVE,@chrishasboobs AHHH I HOPE YOUR OK!!! ,chrishasboobs AHHH I HOPE YOUR OK 
NEGATIVE,"@misstoriblack cool , i have no tweet apps  for my razr 2",misstoriblack cool i have no tweet apps for my razr 
NEGATIVE,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",TiannaChaos i know just family drama its lamehey next time u hang out with kim n u guys like have a sleepover or whatever ill call u
NEGATIVE,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,School email wont open and I have geography stuff on there to revise Stupid School 
NEGATIVE,upper airways problem ,upper airways problem 
NEGATIVE,Going to miss Pastor's sermon on Faith... ,Going to miss Pastors sermon on Faith 
POSITIVE,on lunch....dj should come eat with me ,on lunchdj should come eat with me 
NEGATIVE,@piginthepoke oh why are you feeling like that? ,piginthepoke oh why are you feeling like that 
NEGATIVE,gahh noo!peyton needs to live!this is horrible ,gahh noopeyton needs to livethis is horrible 
POSITIVE,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,mrstessyman thank you glad you like it There is a product review bit on the site Enjoy knitting it
POSITIVE,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,PerezHilton Zach makes me pee sitting down And Im a grown gay man 
POSITIVE,to sum up my day in one word ......... kackered! ,to sum up my day in one word kackered 
POSITIVE,@k9wkj Great minds think alike , Great minds think alike 
NEGATIVE,Is Poorly and in bed! ,Is Poorly and in bed 
POSITIVE,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...",LilPecan Oh thats really great Here we have a small blizzard and also cold wind blows
POSITIVE,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ",wizely lol calm down i got a loan offer for only 
POSITIVE,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",im feeling quite sleepy today wish i could stay in bed todaybut OK is my LAST YEAR so lets go to school 
NEGATIVE,@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,nadalnews Yeah Mathieu totally choked in the set to let Rog win as well Djokovic played TERRIBLY 
NEGATIVE,"ugh, morning's off to a rough start ",ugh mornings off to a rough start 
NEGATIVE,just bit my tongue ,just bit my tongue 
NEGATIVE,@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,frandrescher Apparently you dont have time for ur fans 
POSITIVE,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,Whaddup Whaddup Whaddup Whaddup Whaddup I Got white girl swag from MY HEAD TO MY shOES Whaddup yungla 
POSITIVE,"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ",GogDog Id be willing to pay thus covering the cost of the set for one of them but if youve got a counter offer Ill listen 
POSITIVE,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,Working on photos from Hillsongs year celebration stay tuned wwwhillsongcoza
NEGATIVE,"baby's chicken pox are soo bad on the face, I am afraid she might have scars ",babys chicken pox are soo bad on the face I am afraid she might have scars 
NEGATIVE,i don't feel good ,i dont feel good 
POSITIVE,@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,edadkins ha ha I want to see pictures from when you were a minister boobie flahses 
NEGATIVE,This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,This day will pass slowly All of these days will RAWR 
NEGATIVE,my car is poorly ,my car is poorly 
POSITIVE,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,im turning one week from now but i dont feel excited i really dont know why ive seen my friends they got excited but on my part
POSITIVE,No woooooork tomorrrow&amp;tuesday ,No woooooork tomorrrowamptuesday 
NEGATIVE,Flatmates are still in the bathroom! ARGGH!! ,Flatmates are still in the bathroom ARGGH 
NEGATIVE,I'm having an allergic reaction to silver earings ,Im having an allergic reaction to silver earings 
NEGATIVE,"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",RocDoogie I am Ill admit maybe Ill feel better tomorrow yo Down studio time
NEGATIVE,"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ",jasonhooha Going back to sleep is such a great idea unfortunately Im already at work notebookless 
NEGATIVE,what is with msn making me click the wrong people. garrrrr ,what is with msn making me click the wrong people garrrrr 
NEGATIVE,Too full of fizz but not enough cider ,Too full of fizz but not enough cider 
POSITIVE,How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,How to Get Your Ex Back worked for me httpbitly
NEGATIVE,Time to sleep... Long day again tomorrow ,Time to sleep Long day again tomorrow 
POSITIVE,Hahaha blakk is reckkkin it. :p throwwwwwed. ,Hahaha blakk is reckkkin it p throwwwwwed 
POSITIVE,Cubs game today! My first ever ,Cubs game today My first ever 
POSITIVE,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,SuzySpaatz hi sounds like youre feeling a bit betterthats great you have a great day 
POSITIVE,@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,foprof LOL Leave a kid on internet and the kid will do stupid things
POSITIVE,eating cha with eric ,eating cha with eric 
POSITIVE,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",StarJonesEsq On a good note we DID meet at Marty Richards RED BALL a few years ago you were so sweet to me Ill never forget it 
NEGATIVE,My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,My hands are officially tied I dont think Ill have time for anything anymore This includes the California meet 
POSITIVE,"@Konstantine I said &quot;scar,&quot; sweetie. ",Konstantine I said quotscarquot sweetie 
NEGATIVE,@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,CamilleJ it was supposed to go live on tv but it didnt happened in the end that would have been cool being on the bbc
POSITIVE,FCK-Brï¿½ndby 4-0! ,FCKBrï¿½ndby 
NEGATIVE,@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,teamallen jealous Im yet to find a local chinese im satisfied with 
POSITIVE,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,BayAreaCheap there r a few of us local yocals around happy to find u on twitter 
POSITIVE,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",just back from SuperCheap a most successful trip The bikes are tanked amp checked for the week so all ready to start relaxing 
NEGATIVE,@ElleChanel want to shoot...but i'm not in charlotte .. ,ElleChanel want to shootbut im not in charlotte 
POSITIVE,@sephrenia1982 good work , good work 
POSITIVE,@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,KingdomGuard welcome new cd out this weekmaybe even tomorrow 
NEGATIVE,@CatholicChicks hate bein on the phone that long ,CatholicChicks hate bein on the phone that long 
POSITIVE,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ",If anyone wanted to attend TEDMED but cant make the date Ill happily take your place and will liveblog it for you too 
POSITIVE,@melbgirl It means the same to us!  #GoCats,melbgirl It means the same to us GoCats
NEGATIVE,"beach this morning,bbq this afternoon. Back to school/work 2morro ",beach this morningbbq this afternoon Back to schoolwork 
POSITIVE,@joshlam and you are how old?? REALLY?!? ,joshlam and you are how old REALLY 
